Movie Title,Release Date,Budget ($),Box Office Revenue ($)
St. Vincent,2014-09-05,"$13,000,000.00","$54,800,000.00"
Stand by Me Doraemon,2014-08-08,"$35,000,000.00","$196,400,000.00"
Star Trek Beyond,2016-07-22,"$185,000,000.00","$243,000,000.00"
Step Up: All In,2014-08-08,"$45,000,000.00","$86,200,000.00"
Steve Jobs,2015-09-05,"$30,000,000.00","$34,400,000.00"
Straight Outta Compton,2015-08-11,"$50,000,000.00","$201,600,000.00"
Suffragette,2015-09-04,"$14,000,000.00","$32,000,000.00"
Suicide Squad,2016-08-05,"$175,000,000.00","$636,700,000.00"
Taken 2,2012-10-05,"$43,000,000.00","$376,100,000.00"
Tammy,2014-07-02,"$20,000,000.00","$100,500,000.00"
Ted,2012-06-29,"$51,000,000.00","$549,400,000.00"
Ted 2,2015-06-24,"$68,000,000.00","$216,700,000.00"
Teenage Mutant Ninja Turtles,2014-07-29,"$125,000,000.00","$493,300,000.00"
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-22,"$135,000,000.00","$242,500,000.00"
Terminator Genisys,2015-06-22,"$155,000,000.00","$440,600,000.00"
Texas Chainsaw 3D,2013-01-04,"$20,000,000.00","$47,200,000.00"
That Awkward Moment,2014-01-27,"$8,000,000.00","$40,500,000.00"
The 33,2015-08-06,"$26,000,000.00","$24,900,000.00"
The 5th Wave,2016-01-22,"$35,000,000.00","$110,700,000.00"
The Age of Adaline,2015-04-24,"$25,000,000.00","$65,700,000.00"
The Amazing Spider-Man,2012-07-03,"$230,000,000.00","$757,900,000.00"
The Angry Birds Movie,2016-05-05,"$73,000,000.00","$346,900,000.00"
The Best Exotic Marigold Hotel ₪,2012-05-04,"$10,000,000.00","$136,800,000.00"
The Big Short,2015-12-11,"$28,000,000.00","$133,300,000.00"
The Bling Ring,2013-06-14,"$8,000,000.00","$19,100,000.00"
The Book of Life,2014-10-12,"$50,000,000.00","$99,800,000.00"
The Boss,2016-04-08,"$29,000,000.00","$78,600,000.00"
The Bourne Legacy,2012-08-10,"$125,000,000.00","$276,100,000.00"
The Boxtrolls,2014-08-31,"$60,000,000.00","$109,300,000.00"
The Boy,2016-01-22,"$10,000,000.00","$64,200,000.00"
The Butler,2013-08-16,"$30,000,000.00","$176,600,000.00"
The Cabin in the Woods,2012-04-13,"$30,000,000.00","$66,500,000.00"
The Call,2013-03-15,"$13,000,000.00","$68,600,000.00"
The Campaign,2012-08-10,"$95,000,000.00","$104,900,000.00"
The Cold Light of Day,2012-09-07,"$20,000,000.00","$16,900,000.00"
The Collection,2012-11-30,"$10,000,000.00","$8,900,000.00"
The Conjuring,2013-07-19,"$20,000,000.00","$318,000,000.00"
The Conjuring 2,2016-06-07,"$40,000,000.00","$319,500,000.00"
The Croods,2013-03-22,"$135,000,000.00","$587,200,000.00"
The Danish Girl,2015-09-05,"$15,000,000.00","$64,200,000.00"
The Darkness,2016-05-13,"$4,000,000.00","$10,900,000.00"
The Devil Inside,2012-01-06,"$1,000,000.00","$101,800,000.00"
The Dictator,2012-05-16,"$65,000,000.00","$179,400,000.00"
The Divergent Series: Allegiant,2016-03-18,"$110,000,000.00","$179,200,000.00"
The Divergent Series: Insurgent,2015-03-19,"$110,000,000.00","$297,300,000.00"
The Drop,2014-09-12,"$12,600,000.00","$18,700,000.00"
The Duff,2015-02-12,"$8,500,000.00","$43,500,000.00"
The East,2013-05-31,"$6,500,000.00","$2,400,000.00"
The Equalizer,2014-09-07,"$55,000,000.00","$192,300,000.00"
The Expendables 2,2012-08-17,"$100,000,000.00","$305,400,000.00"
The Expendables 3,2014-08-04,"$90,000,000.00","$206,200,000.00"
The Family,2013-09-13,"$30,000,000.00","$78,400,000.00"
The Fault in Our Stars,2014-05-16,"$13,000,000.00","$307,200,000.00"
The Five-Year Engagement,2012-04-27,"$30,000,000.00","$53,900,000.00"
The Forest,2016-01-08,"$10,000,000.00","$37,600,000.00"
The Gift,2015-07-30,"$5,000,000.00","$59,000,000.00"
The Giver,2014-08-11,"$25,000,000.00","$67,000,000.00"
The Grand Budapest Hotel,2014-02-06,"$23,000,000.00","$174,800,000.00"
The Great Gatsby,2013-05-10,"$105,000,000.00","$351,000,000.00"
The Grey,2012-01-27,"$25,000,000.00","$77,300,000.00"
The Gunman,2015-03-20,"$40,000,000.00","$24,200,000.00"
The Hangover Part III,2013-05-23,"$103,000,000.00","$362,000,000.00"
The Hateful Eight,2015-12-25,"$44,000,000.00","$155,800,000.00"
The Heat,2013-06-28,"$43,000,000.00","$229,900,000.00"
The Hobbit: The Battle of the Five Armies,2014-12-01,"$250,000,000.00","$956,000,000.00"
The Host,2013-03-29,"$40,000,000.00","$63,300,000.00"
The Hundred-Foot Journey,2014-08-08,"$22,000,000.00","$88,900,000.00"
The Hunger Games,2012-03-23,"$78,000,000.00","$694,400,000.00"
The Hunger Games: Mockingjay – Part 1,2014-11-10,"$125,000,000.00","$755,400,000.00"
The Hunger Games: Mockingjay – Part 2,2015-11-04,"$160,000,000.00","$653,400,000.00"
